OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
15,4092110093,Durant Road Elem. Cafeteria,9901 DURANT RD ,YEAR ROUND,RALEIGH,NC,27614-9369,(919) 870-4210,1992-07-02T00:00:00.000Z,Public School Lunchrooms,151,-78.58044482,35.8996083,M
16,4092300049,Fresh Market Seafood and Meat Market,400 WOODBURN RD,,RALEIGH,NC,27605-1324,,1991-08-26T00:00:00.000Z,Meat Market,157,-78.65855965,35.78994083,M
17,4092110068,Stough Elem. Cafeteria,4210 EDWARDS MILL RD ,,RALEIGH,NC,27612-5404,(919) 881-4952,1991-09-17T00:00:00.000Z,Public School Lunchrooms,191,-78.69198131,35.8353343,M
18,4092010870,Taylor`s Convenience Store,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992-01-17T00:00:00.000Z,Restaurant,193,-78.65047039,35.91579035,M
19,4092110088,Willow Spring Elem.Cafet.,6800 DWIGHT ROWLAND RD,,WILLOW SPRING,NC,27592-9342,(919) 557-2957,1992-08-06T00:00:00.000Z,Public School Lunchrooms,205,-78.72841766,35.593328,M
20,4092010773,University Towers Dining Service,111 FRIENDLY DR,,RALEIGH,NC,27607-5463,(800) 521-3077,1991-04-23T00:00:00.000Z,Restaurant,216,-78.67544835,35.78839034,M
21,4092012056,Torero`s Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997-06-03T00:00:00.000Z,Restaurant,219,-78.7834338,35.76424145,M
22,4092010037,Aubrey &amp; Peedi`s Grill,38 N Main ST ,,WENDELL,NC,27591,(919) 365-5528,1991-04-25T00:00:00.000Z,Restaurant,231,-78.36945172,35.78246153,M
23,4092020612,Harris Teeter #26 Deli,7400 CREEDMOOR RD,,RALEIGH,NC,27613-1639,(919) 848-1464,1994-05-24T00:00:00.000Z,Food Stand,238,-78.67820041,35.88787167,M
24,4092013006,Bojangles,2620 Atlantic Ave,,RALEIGH,NC,27604-1502,(919) 546-9701,1999-09-08T00:00:00.000Z,Restaurant,263,-78.61499718,35.81836916,M
25,4092011419,R.J.`S PLACE,712 N MAIN ST ,,FUQUAY-VARINA,NC,27526,(919) 552-5152,1991-04-23T00:00:00.000Z,Restaurant,293,-78.79096842,35.59123326,M
26,4092011497,Barnes And Noble Cafe,4325 GLENWOOD AVE,,RALEIGH,NC,27612-4532,(919) 782-0030,1994-06-03T00:00:00.000Z,Restaurant,304,-78.68184484,35.84183815,T
27,4092011781,"Zest, Inc",8831 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 848-4792,1995-11-30T00:00:00.000Z,Restaurant,343,-78.65190007,35.9001152,M
28,4092010549,The Peddler Steak House,6005 GLENWOOD AVE ,,RALEIGH,NC,27612-2636,(919) 787-6980,1991-05-13T00:00:00.000Z,Restaurant,349,-78.7015418,35.85400627,M
29,4092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1092,1991-08-23T00:00:00.000Z,Restaurant,354,-78.32849606,35.83040203,M
30,4092014085,HOOTERS,1001 CLAREN CIR ,,MORRISVILLE,NC,27560,(919) 469-2900,2004-07-13T00:00:00.000Z,Restaurant,383,-78.82295551,35.85640624,M
31,4092011771,Barnes And Noble,760 SE Maynard Road ,,CARY,NC,27511,(919) 467-3866,1995-11-20T00:00:00.000Z,Restaurant,416,-78.76212909,35.76995678,M
32,4092010851,Parkside,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991-07-10T00:00:00.000Z,Restaurant,430,-78.64378535,35.77679428,M
33,4092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992-11-13T00:00:00.000Z,Restaurant,431,-78.69211011,35.84689434,M
34,4092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001-03-15T00:00:00.000Z,Food Stand,441,-78.72593809,35.90878313,M
35,4092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7820,1991-09-16T00:00:00.000Z,Public School Lunchrooms,442,-78.65350233,35.79075859,M
36,4092110016,Leadmine Elementary Cafeteria,8301 OLD LEAD MINE RD ,,RALEIGH,NC,27615-2930,(919) 870-4126,1991-09-17T00:00:00.000Z,Public School Lunchrooms,447,-78.65713584,35.89159018,M
37,4092110020,Joyner Elementary Cafeteria,2300 LOWDEN ST ,,RALEIGH,NC,27608-0707,(919) 856-7657,1991-09-17T00:00:00.000Z,Public School Lunchrooms,448,-78.63298429,35.81521046,M
38,4092012063,Whole Foods Market Cafe,3540 WADE AVE ,,RALEIGH,NC,27607-4048,(919) 828-5805,1997-06-19T00:00:00.000Z,Restaurant,454,-78.68558086,35.80212022,M
39,4092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 554-1400,1999-05-17T00:00:00.000Z,Restaurant,467,-78.54097555,35.98087356,M
40,4092021215,Food Lion #2534 Meat Market/Seafood,13200 New Falls Of Neuse Rd,,RALEIGH,NC,27614,(919) 562-8912,2003-09-04T00:00:00.000Z,Food Stand,475,-78.55981965,35.9407555,M
41,4092040128,Pinhead Investments #2  (WCID #127),Glenwood AVE S ,,RALEIGH,NC,27520,(919) 846-9863,2003-09-30T00:00:00.000Z,Pushcarts,481,0,0,U
42,4092011773,Cup A Joe,2109 AVENT FERRY RD,Suite 142,RALEIGH,NC,27606-2137,(919) 828-9886,1995-11-03T00:00:00.000Z,Restaurant,483,-78.67605091,35.77835817,M
43,4092012102,CARRABBA'S ITALIAN GRILL #3420,4821 CAPITAL BLVD ,,RALEIGH,NC,27616-4483,(919) 871-0001,1997-08-18T00:00:00.000Z,Restaurant,495,-78.58143515,35.8525397,M
44,4092014152,Starbucks #2970,10760 Wakefield Commons DR ,Ste 109,RALEIGH,NC,27614,(919) 453-1010,2004-10-08T00:00:00.000Z,Restaurant,505,-78.5408878,35.94279833,M
45,4092021294,Domino's Pizza #5501,2658 S Saunders ST,,RALEIGH,NC,27603,(919) 821-2330,2004-08-31T00:00:00.000Z,Food Stand,506,-78.64933505,35.74572465,M
46,4092013454,Torero`s Restaurant,4721 - 101 Atlantic Ave,,RALEIGH,NC,27604,(919) 873-9116,2001-11-20T00:00:00.000Z,Restaurant,507,0,0,U
47,4092110147,Knightdale High School Cafeteria,100 Bryan Chalk Ln ,,KNIGHTDALE,NC,27545,(919) 217-5375,2004-07-26T00:00:00.000Z,Public School Lunchrooms,509,-78.47669414,35.81053119,M
48,4092300060,Harris Teeter #69 Meat Market,3201-123 EDWARDS MILL RD,,RALEIGH,NC,27612-5385,(919) 781-8776,1991-08-26T00:00:00.000Z,Meat Market,521,-78.70556784,35.82545066,M
49,4092014144,KFC/Taco Bell,809 Airport BLVD ,,MORRISVILLE,NC,27560,(919) 380-8313,2004-10-01T00:00:00.000Z,Restaurant,527,-78.82480176,35.85625186,M
50,4092013505,Subway,2444 Old Apex Rd,,CARY,NC,27513,(919) 467-3898,2002-01-25T00:00:00.000Z,Restaurant,541,0,0,U
51,4092013481,McDonald`s #26522,5016-101 Spring Forest Rd,,RALEIGH,NC,27616,(919) 954-8880,2001-12-20T00:00:00.000Z,Restaurant,569,-78.55683715,35.85595019,M
52,4092013496,Starbucks #8495,9630-101 FALLS OF NEUSE RD,,RALEIGH,NC,27615-2472,(919) 847-1363,2002-01-14T00:00:00.000Z,Restaurant,572,-78.60240848,35.90512634,M
53,4092013526,Pharaoh`s,4421 SIX FORKS RD ,STE 6-A,RALEIGH,NC,27609-5761,(919) 420-0840,2002-02-05T00:00:00.000Z,Restaurant,573,-78.64349885,35.84017418,M
54,4092040087,Fancy Dogs #2 (WCID #106),3200 Gresham Lake RD ,STE 117,RALEIGH,NC,27615,(919) 426-3196,2001-01-05T00:00:00.000Z,Pushcarts,576,-78.58228759,35.88437165,M
55,4092013346,BROOKDALE OF NORTH RALEIGH FOOD SERVICE,1200 Carlos Dr ,,RALEIGH,NC,27609,(919) 334-2220,2001-07-05T00:00:00.000Z,Restaurant,580,-78.61847832,35.86397289,M
56,4092110086,Leesville Middle-Elem. Sch. Cafeteria,8405 LEESVILLE RD ,,RALEIGH,NC,27613-1004,(919) 870-4165,1991-08-20T00:00:00.000Z,Public School Lunchrooms,587,-78.71777873,35.88906496,M
57,4092013499,Mellow Mushroom,601 W PEACE ST ,,RALEIGH,NC,27605-1519,(919) 832-3499,2002-01-28T00:00:00.000Z,Restaurant,596,-78.64756602,35.78827176,M
58,4092021109,Lowes Foods #184 Produce,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002-01-08T00:00:00.000Z,Food Stand,597,0,0,U
59,4092013519,Los Tres Magueyes,411-J S Main St ,,ROLESVILLE,NC,27571,(919) 562-1669,2002-02-02T00:00:00.000Z,Restaurant,600,-78.46518814,35.91835371,M
60,4092014165,Super Target #1932 Food Avenue,1201 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 372-1405,2004-10-05T00:00:00.000Z,Restaurant,609,-78.87777438,35.74487977,M
61,4092021108,Lowes Foods #184 Meat/Seafood,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002-01-08T00:00:00.000Z,Food Stand,618,0,0,U
62,4092013504,Serendipity Gourmet Deli,118 S ACADEMY ST,,CARY,NC,27511-3302,(919) 469-1655,2002-01-24T00:00:00.000Z,Restaurant,619,-78.78150853,35.78674767,M
63,4092011774,THE ROCKFORD,320-1/2 GLENWOOD AVE ,,RALEIGH,NC,27603,(919) 821-9020,1995-11-03T00:00:00.000Z,Restaurant,631,0,0,U
64,4092013502,Lowes Foods #184 (Deli),5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002-01-08T00:00:00.000Z,Restaurant,632,0,0,U
65,4092013568,Bob Evan`s #427,8001 BRIER CREEK Pky,,RALEIGH,NC,27617-7596,(919) 806-3396,2002-04-17T00:00:00.000Z,Restaurant,636,-78.78163087,35.91093015,M
66,4092013453,Goji Bistro,100 Maynard Crossing Ct,,CARY,NC,27513,(919) 466-8888,2001-12-03T00:00:00.000Z,Restaurant,642,-78.81059568,35.78672957,M
67,4092013475,Bojangles # 29,12109 Cloverleaf Dr,,WAKE FOREST,NC,27587-6516,(919) 554-2243,2001-12-14T00:00:00.000Z,Restaurant,650,-78.54093466,35.97688776,M
68,4092013938,Quiznos Sub # 91,6605 Falls Of Neuse Rd ,,RALEIGH,NC,27615,(919) 676-1909,2003-11-13T00:00:00.000Z,Restaurant,665,-78.62444936,35.87396757,M
69,4092011099,Barrys Cafe,2851 Jones Franklin RD ,,RALEIGH,NC,27606-4346,(919) 859-3555,1992-05-18T00:00:00.000Z,Restaurant,670,-78.73773278,35.74361773,M
70,4092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 Glenwood Ave ,,RALEIGH,NC,27612,(919) 782-9708,1998-07-30T00:00:00.000Z,Restaurant,676,-78.68184484,35.84183815,T
71,4092011463,Philly Steak And Subs,4701 ATLANTIC AVE,,RALEIGH,NC,27604-8108,(919) 878-5748,1994-03-18T00:00:00.000Z,Restaurant,688,-78.60292943,35.84801871,M
72,4092020848,Domino`s,9825-E Chapel Hill Road ,,MORRISVILLE,NC,27560,(919) 319-7000,1998-09-17T00:00:00.000Z,Food Stand,689,-78.81726585,35.81105337,T
73,4092012848,Taco Bell #020165,2101 WALNUT ST,,CARY,NC,27511-9207,(919) 852-0680,1998-12-15T00:00:00.000Z,Restaurant,690,-78.74089813,35.75662681,M
74,4092021201,Middle Creek Park,151 Middle Creek Park Ln ,,APEX,NC,27502,(919) 427-9891,2003-06-23T00:00:00.000Z,Food Stand,695,-78.76496309,35.66721885,M
75,4092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003-06-28T00:00:00.000Z,Institutional Food Service,697,-78.58396978,35.78299281,M
76,4092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003-07-10T00:00:00.000Z,Food Stand,698,-78.82480349,35.65381034,M
77,4092011988,Brigs At The Crossing Restaurant,1225 NW MAYNARD RD ,,CARY,NC,27513-8720,(919) 841-9300,1996-12-31T00:00:00.000Z,Restaurant,705,-78.81241463,35.78438636,M
78,4092012007,Bee Hive Cafe,3800 HILLSBOROUGH ST ,,RALEIGH,NC,27607-5237,(919) 829-8328 ext. 8328,1997-01-31T00:00:00.000Z,Restaurant,710,-78.68916341,35.79996357,M
79,4092013590,Maximillian`s Grille And Wine Bar,8314 CHAPEL HILL RD ,,CARY,NC,27513-4051,(919) 465-2455,2002-04-29T00:00:00.000Z,Restaurant,716,-78.77617181,35.79224815,M
80,4092013673,Goodberry`s,11736 Retail Dr,,WAKE FOREST,NC,27587-7349,(919) 554-2875,2002-10-01T00:00:00.000Z,Restaurant,722,-78.54238418,35.96758688,M
81,4092013542,Chick-fil-A,11730 Retail Dr,,WAKE FOREST,NC,27587-7349,(919) 562-9004,2002-03-15T00:00:00.000Z,Restaurant,725,-78.54275191,35.96706617,M
82,4092021196,Harris Teeter #112 Produce,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003-06-24T00:00:00.000Z,Food Stand,734,-78.7805746,35.804703,M
83,4092013627,China Wok,2753 NC Hwy 55,,CARY,NC,27519,(919) 387-9599,2002-07-19T00:00:00.000Z,Restaurant,746,-78.87279058,35.78531342,M
84,4092300220,Food Lion #2504 Meat Market ,1030-125 N Rogers Ln ,,RALEIGH,NC,27610,(919) 792-0321,2003-12-12T00:00:00.000Z,Meat Market,751,-78.54967347,35.79198567,M
85,4092011872,Sushi Tsune Of Kyoto,3417 HILLSBOROUGH ST ,,RALEIGH,NC,27607-5406,(919) 833-7768,1996-05-11T00:00:00.000Z,Restaurant,759,-78.6839353,35.79279412,M
86,4092013618,Subway #4331,9101 LEESVILLE RD ,,RALEIGH,NC,27613-4091,(919) 847-3559,2002-06-12T00:00:00.000Z,Restaurant,764,-78.72548207,35.8967595,M
87,4092011937,Roma`s Italian,203 N HARRISON AVE ,,CARY,NC,27513-4558,(919) 468-1111,1996-10-04T00:00:00.000Z,Restaurant,769,-78.78390114,35.78817166,M
88,4092013909,PIZZA HUT #9106,920 NE Maynard RD ,,CARY,NC,27513,(919) 469-9991,2003-10-08T00:00:00.000Z,Restaurant,786,-78.7683811,35.80043605,M
89,4092013613,Backyard Burgers #1130,13250 Strickland RD ,,RALEIGH,NC,27613,(919) 847-7098,2002-07-10T00:00:00.000Z,Restaurant,799,-78.72644553,35.90762735,M
90,4092013637,Tacos Mexico Restaurant,209 E Williams St ,,APEX,NC,27502,(919) 362-8074,2002-08-12T00:00:00.000Z,Restaurant,802,-78.85166433,35.72667689,M
91,4092013654,CiCi`s Pizza #413,12516 Capital,Ste 101,WAKE FOREST,NC,27587-7487,(919) 556-0117,2002-09-04T00:00:00.000Z,Restaurant,803,-78.53270439,35.98593613,M
92,4092013768,Ruby Tuesday`s,1260 N Main St ,,FUQUAY VARINA,NC,27526,(919) 557-0341,2003-02-24T00:00:00.000Z,Restaurant,808,-78.78112808,35.5912681,M
93,4092013794,Subway #1880,3225 Avent Ferry Rd ,,RALEIGH,NC,27606,(919) 859-2121,2003-05-23T00:00:00.000Z,Restaurant,813,-78.69565606,35.76673883,M
94,4092012304,Tokyo House,7439 SIX FORKS RD ,,RALEIGH,NC,27615-6164,(919) 848-3350,1998-09-22T00:00:00.000Z,Restaurant,819,-78.64725808,35.88069032,M
95,4092014155,Subway #30454,7850-100 Alexander Promenade PL ,,RALEIGH,NC,27617,(919) 608-0919,2004-10-12T00:00:00.000Z,Restaurant,823,-78.7803264,35.91259169,M
96,4092013786,Market Grill,1201 Agricultural St.,,RALEIGH,NC,27603,(919) 601-8555,2003-03-12T00:00:00.000Z,Restaurant,832,0,0,U
97,4092011428,NC Seafood,1201 AGRICULTURE ST ,,RALEIGH,NC,27603-2366,(919) 833-4661,1994-01-31T00:00:00.000Z,Restaurant,852,-78.6633093,35.76445694,M
98,4092021131,Pizza Hut Delivery #9208,4011-119 Capital Blv ,,RALEIGH,NC,27604,(919) 790-8111,2002-07-26T00:00:00.000Z,Food Stand,862,-78.58250245,35.8353751,M
99,4092013755,Barham`s Restaurant,122 N ARENDELL AVE ,,ZEBULON,NC,27597-2602,(919) 404-0589,2002-09-17T00:00:00.000Z,Restaurant,869,-78.31270783,35.82194243,M
100,4092013823,THE URBAN TURBAN,2757 NC Hwy 55,,CARY,NC,27519,(919) 367-0888,2003-06-23T00:00:00.000Z,Restaurant,876,-78.87279058,35.78531342,M
101,4092300206,Lowes Foods #189 Meat Market ,3001 Widewaters Pky ,,KNIGHTDALE,NC,27545,(217) 918-4,2002-08-20T00:00:00.000Z,Meat Market,879,-78.50515596,35.79511678,M
102,4092021112,WalMart Deli,1051 E BROAD ST ,,FUQUAY VARINA,NC,27526-1799,(919) 567-2350,2002-03-19T00:00:00.000Z,Food Stand,890,-78.78150721,35.59440577,M
103,4092110129,Moore Square Magnet Middle School,301 S PERSON ST,,RALEIGH,NC,27601-1821,(919) 664-5737 ext. 26635,2002-07-08T00:00:00.000Z,Public School Lunchrooms,895,-78.6342447,35.77609748,M
104,4092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991-05-13T00:00:00.000Z,Restaurant,897,-78.70472608,35.86043731,M
105,4092021114,Mudcats Pantry,1501 NC 39 Hwy ,,ZEBULON,NC,27597,(919) 269-2287,2002-04-01T00:00:00.000Z,Food Stand,898,-78.2712282,35.81726662,M
106,4092021127,Papa John`s,3591 MAITLAND DR ,Suite 5,RALEIGH,NC,27610-1239,(919) 250-0101,2002-06-11T00:00:00.000Z,Food Stand,903,-78.58046526,35.79725239,M
107,4092010031,Archdale Bldg. Snack Bar,512 N Salisbury St ,,RALEIGH,NC,27604-1170,(919) 733-6805,1991-04-25T00:00:00.000Z,Restaurant,922,-78.63881833,35.78561791,M
108,4092010189,North Raleigh Courtyard By Marriott,1041 WAKE TOWNE DR ,,RALEIGH,NC,27609-7850,(919) 821-3400,1991-04-29T00:00:00.000Z,Restaurant,925,-78.62297533,35.82407619,M
109,4092300050,Harris Teeter #38 Meat Market ,5563 WESTERN BLVD ,,RALEIGH,NC,27606-1595,(919) 859-0110,1991-08-26T00:00:00.000Z,Meat Market,929,-78.72051017,35.78412594,M
110,4092014958,Papa`s Subs and Pizza,511 N Main ST ,,HOLLY SPRINGS,NC,27540,(919) 557-1919,2007-09-07T00:00:00.000Z,Restaurant,934,-78.83687096,35.65966057,M
111,4092013943,St. Raphael Hall Foodservice,5801 Falls Of Neuse Rd ,,RALEIGH,NC,27609,(919) 865-5705,2003-12-01T00:00:00.000Z,Restaurant,946,-78.61925176,35.85949781,M
112,4092011875,Goodberry`s,9700 STRICKLAND RD,,RALEIGH,NC,27615-1939,(919) 676-8580,1996-05-17T00:00:00.000Z,Restaurant,950,-78.65695874,35.90221401,M
113,4092013028,PNC Arena Main Kitchen,1400 EDWARDS MILL RD,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999-10-28T00:00:00.000Z,Restaurant,958,-78.7229363,35.8032419,M
114,4092300067,Pauls Cash Grocery Meat Market,7301 POOLE RD ,,RALEIGH,NC,27610-9366,,1991-08-26T00:00:00.000Z,Meat Market,962,-78.51538485,35.75733791,M
115,4092013805,McDonald's #28245,110 Carillon Dr ,,GARNER,NC,27529,(919) 771-2441,2003-04-23T00:00:00.000Z,Restaurant,974,-78.58282245,35.69257858,M
116,4092160023,Spring Arbor Of East Raleigh Kitchen,1810 New Hope Rd,,RALEIGH,NC,27604,(919) 250-0255,2003-06-29T00:00:00.000Z,Institutional Food Service,979,-78.56378755,35.80536103,M
117,4092013789,Hong Kong,3490-190 Kildaire Farm RD ,,RALEIGH,NC,27518,(919) 303-8439,2003-03-19T00:00:00.000Z,Restaurant,981,-78.79444913,35.70342293,M
118,4092160011,Sunrise At North Hills Kitchen,615 Spring Forest Rd ,,RALEIGH,NC,27609,(919) 787-0777,2003-04-21T00:00:00.000Z,Institutional Food Service,982,-78.62507178,35.86547258,M
119,4092013735,Village Draft House,428 Daniels St ,,RALEIGH,NC,27605,(919) 833-1373,2002-12-31T00:00:00.000Z,Restaurant,1000,-78.66025735,35.7899673,M
120,4092013752,Chili`s Bar and Grill,3411 Sumner Blv ,,RALEIGH,NC,27616,(919) 792-2545,2003-01-03T00:00:00.000Z,Restaurant,1001,-78.57603863,35.86599856,M
121,4092050023,Knightdale Headstart Kitchen,1020 Todd Rd ,,KNIGHTDALE,NC,27545,(919) 266-1240,2003-08-27T00:00:00.000Z,Private School Lunchrooms,1002,-78.44699487,35.83204765,M
122,4092011817,BURGER KING #6010,7300 CREEDMOOR RD ,,RALEIGH,NC,27613-1637,(919) 846-9002,1996-01-23T00:00:00.000Z,Restaurant,1012,-78.67905329,35.8865906,M
123,4092010658,Shortys,212 S White St,,WAKE FOREST,NC,27587,(919) 556-8026,1991-04-29T00:00:00.000Z,Restaurant,1018,-78.51009842,35.97768423,M
124,4092110017,Brassfield Road Elem. Cafeteria,2001 BRASSFIELD RD ,,RALEIGH,NC,27614-9453,(919) 870-4084,1991-05-01T00:00:00.000Z,Public School Lunchrooms,1024,-78.6303403,35.93349947,M
125,4092013127,Arena Cafe- Cisco Bldg 7,7100 KIT CREEK RD ,,RESEARCH TRIANGLE PARK,NC,27709,(919) 392-6612,2000-04-01T00:00:00.000Z,Restaurant,1029,0,0,U
126,4092110121,Yates Mill Elem. Sch. Cafet.,5993 YATES MILL POND RD,,RALEIGH,NC,27606-8930,(919) 233-4244,2000-06-27T00:00:00.000Z,Public School Lunchrooms,1034,-78.72960918,35.73779476,M
127,4092021134,Lowes Foods #187 Produce,12524 Capital Blv,,WAKE FOREST,NC,27587-7487,(919) 562-5020,2002-08-09T00:00:00.000Z,Food Stand,1048,-78.53270439,35.98593613,M
128,4092013689,Mr Dumpling,5470 Apex Peakway ,,APEX,NC,27502,(919) 387-7709,2002-10-21T00:00:00.000Z,Restaurant,1054,0,0,U
129,4092021154,Food Lion #341 Deli ,114 WAKELON ST ,,ZEBULON,NC,27597-2403,(919) 269-6122,2002-10-25T00:00:00.000Z,Food Stand,1055,-78.31858381,35.83228812,M
130,4092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001-02-26T00:00:00.000Z,Food Stand,1064,-78.68200551,35.85879117,M
131,4092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3498,1991-09-16T00:00:00.000Z,Public School Lunchrooms,1068,-78.7896079,35.79556729,M
132,4092013816,Capri Restaurant,6325-17 Falls Of Neuse Rd ,,RALEIGH,NC,27615,(919) 878-4424,2003-06-23T00:00:00.000Z,Restaurant,1074,-78.62102418,35.86869281,M
133,4092011620,Legislative Bldg Snack Bar,16 W Jones St ,,RALEIGH,NC,27601-1030,,1995-01-10T00:00:00.000Z,Restaurant,1082,-78.63894576,35.78321399,M
134,4092014976,Bruegger`s Bagel Bakery #0701,8204-113 Tryon Woods DR ,,CARY,NC,27518,(919) 851-0906,2007-10-17T00:00:00.000Z,Restaurant,1087,-78.74169613,35.74700826,M
135,4092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991-04-22T00:00:00.000Z,Restaurant,1092,-78.64564398,35.78023303,M
136,4092013574,Taco Bell #1872,6404 GLENWOOD AVE ,,RALEIGH,NC,27612-2620,(919) 787-9805,2002-05-10T00:00:00.000Z,Restaurant,1101,-78.70522579,35.85866538,M
137,4092160001,CHATHAM COMMONS - CARY REST HOME FOODSERVICE,809 W CHATHAM St ,,CARY,NC,27511,(919) 469-9309,2003-03-06T00:00:00.000Z,Institutional Food Service,1102,-78.79327826,35.78204056,M
138,4092011802,Five Star,511 W HARGETT ST ,,RALEIGH,NC,27603-1851,(919) 833-3311,1995-12-04T00:00:00.000Z,Restaurant,1116,-78.64655124,35.77835289,M
139,4092013458,McDonald`s,10100 LEESVILLE RD ,,RALEIGH,NC,27613-7541,(919) 841-9282,2001-11-21T00:00:00.000Z,Restaurant,1125,-78.72754368,35.90927982,M
140,4092012113,China Chef,930 US Hwy 64 W,,APEX,NC,27502,(919) 468-8982,1997-08-08T00:00:00.000Z,Restaurant,1134,0,0,U
141,4092013297,Willow Creek Exxon,1133 OLD HONEYCUTT RD ,,FUQUAY VARINA,NC,27526-8923,(919) 577-6361,2001-03-08T00:00:00.000Z,Restaurant,1149,-78.75761891,35.58333571,M
